127.0.0.1, 2021-02-18 21:57:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.353269
127.0.0.1, 2021-02-18 21:57:42, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 2.388118
127.0.0.1, 2021-02-18 21:58:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.195689
127.0.0.1, 2021-02-18 21:58:41, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.407960
127.0.0.1, 2021-02-18 21:59:10, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 2.107237
127.0.0.1, 2021-02-18 21:59:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2021-02-18 21:59:12, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.219880
127.0.0.1, 2021-02-18 21:59:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001027
127.0.0.1, 2021-02-18 21:59:13, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.515367
127.0.0.1, 2021-02-18 21:59:13, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.634655
127.0.0.1, 2021-02-18 21:59:13, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.948431
127.0.0.1, 2021-02-18 21:59:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.040285
127.0.0.1, 2021-02-18 21:59:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.569100
127.0.0.1, 2021-02-18 21:59:16, GET, /bmenn/basics/helloworld, HTTP/1.1, 200, 1.388875
127.0.0.1, 2021-02-18 21:59:17, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 3.981619
127.0.0.1, 2021-02-18 21:59:18, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.273574
127.0.0.1, 2021-02-18 21:59:19, GET, /favicon.ico, HTTP/1.1, 400, 0.008099
127.0.0.1, 2021-02-18 21:59:19, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.540687
127.0.0.1, 2021-02-18 21:59:19, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.597279
127.0.0.1, 2021-02-18 21:59:19, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.795916
127.0.0.1, 2021-02-18 21:59:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.820450
127.0.0.1, 2021-02-18 21:59:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.387378
127.0.0.1, 2021-02-18 21:59:22, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 2.936693
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/basics/helloworld, HTTP/1.1, 200, 0.218925
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.013001
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/js/jquery.js, HTTP/1.1, 304, 0.009038
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/js/web2py.js, HTTP/1.1, 304, 0.003325
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/js/calendar.js, HTTP/1.1, 304, 0.009338
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.009583
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.007393
127.0.0.1, 2021-02-18 21:59:43, GET, /bmenn/static/images/favicon.ico, HTTP/1.1, 200, 0.000509
127.0.0.1, 2021-02-18 22:00:01, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 1.725770
127.0.0.1, 2021-02-18 22:00:01, GET, /favicon.ico, HTTP/1.1, 400, 0.003018
127.0.0.1, 2021-02-18 22:00:07, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.263878
127.0.0.1, 2021-02-18 22:00:07, GET, /favicon.ico, HTTP/1.1, 400, 0.002076
127.0.0.1, 2021-02-18 22:00:07, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.450094
127.0.0.1, 2021-02-18 22:00:08, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.996560
127.0.0.1, 2021-02-18 22:00:08, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 1.118607
127.0.0.1, 2021-02-18 22:00:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.281558
127.0.0.1, 2021-02-18 22:00:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.842154
127.0.0.1, 2021-02-18 22:00:10, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 3.321132
127.0.0.1, 2021-02-18 22:00:41, GET, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.197554
